,Name,Rating,Address, ,Rating,Phone Number,, ,,,, ,
,Blue Cross Pet Hospital,4.5,1386 Golden Gate Ave San Francisco,, CA 94115,14159315550,,,,,,,
,Sunset Veterinary Hospital,4,3741 Noriega St San Francisco,, CA 94122,14157532884,,,,,,,
,VCA All Pets Hospital,4,269 S Van Ness Ave San Francisco,, CA 94103,14158615725,,,,,,,
,Avenues Pet Hospital,4,2221 Taraval St San Francisco,, CA 94116,14156814313,,,,,,,
,Presidio Way Veterinary Hospital,4,3619 California St San Francisco,, CA 94118,14153876752,,,,,,,
,Bay Area Veterinary Housecall Associates,5,491 27th Ave San Francisco,, CA 94121,14159634189,,,,,,,
,San Francisco Veterinary Housecalls,4.5,1819 Polk St Ste 377 San Francisco,, CA 94109,14159317384,,,,,,,
,Balboa Pet Hospital,4,3329 Balboa St San Francisco,, CA 94121,14157523300,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,Urban Animal- Capitol Hill,4.5,909 E Thomas St Seattle,, WA 98102,12063295337,,,,,,,
,Roosevelt Station Vet Care,5,6800 Roosevelt Way NE Seattle,, WA 98115,12064204262,,,,,,,
,Lake Union Veterinary Clinic,4.5,1222 Republican St Seattle,, WA 98109,12064675882,,,,,,,
,Aurora Veterinary Hospital,4.5,8821 Aurora Ave N Seattle,, WA 98103,12065256666,,,,,,,
,Phinney Ridge Animal Hospital,4.5,8205 Greenwood Ave N Seattle,, WA 98103,12067849200,,,,,,,
,Urban Animal- Downtown,4,2200 6th Ave Ste 110 Seattle,, WA 98121,12063195477,,,,,,,
,West Seattle Animal Hospital,4,4700 42nd Ave SW Ste 210 Seattle,, WA 98116,12069323308,,,,,,,
,Columbia City Veterinary Hospital,4.5,3810 S Ferdinand St Seattle,, WA 98118,12065574749,,,,,,,
,Eastlake Veterinary Hospital,4.5,1536 Eastlake Ave E Seattle,, WA 98102,12063282675,,,,,,,
,Rainier Veterinary Hospital,4,815 Rainier Ave S Seattle,, WA 98144,12063244144,,,,,,,
,Cascade Heights Veterinary Center,4.5,9832 15th Ave SW Seattle,, WA 98106,12064031108,,,,,,,
,Elliott Bay Animal Hospital,4,2042 15th Ave W Seattle,, WA 98119,12062857387,,,,,,,
,Queen Anne Animal Clinic,4,1800 Queen Anne Ave N Seattle,, WA 98109,12062842148,,,,,,,
,North Seattle Veterinary Clinic,4.5,11032 8th Ave NE Seattle,, WA 98125,12065237187,,,,,,,
,Maple Leaf Pet Corner,4.5,8300 Lake City Way NE Seattle,, WA 98115,12065228335,,,,,,,
,Northwest Veterinary Hospital,4,4922 Stone Way N Seattle,, WA 98103,12065454255,,,,,,,
,Caring Pet Clinic,4,706 NE 45th St Seattle,, WA 98105,12062570504,,,,,,,
,Maple Leaf Veterinary Care Center,4.5,8626 Roosevelt Way NE Seattle,, WA 98115,12065242020,,,,,,,
,Pet Care Center,4.5,2950 SW Avalon Way Seattle,, WA 98126,12069353600,,,,,,,
,Northeast Veterinary Hospital,4,9505 35th Ave NE Seattle,, WA 98115,12065231900,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,East Orange Animal Hospital,4.5,152 Central Ave East Orange,, NJ 07018,19736767799,,,,,,,
,Newark Vet Hospital,2.5,98 Wilson Ave Newark,, NJ 07105,19739556040,,,,,,,
,Ridge Road Animal Hospital,4.5,44 Ridge Rd North Arlington,, NJ 07031,12019556161,,,,,,,
,Banfield Pet Hospital,4,190 County Ave Secaucus,, NJ 07094,12018674795,,,,,,,
,Essex Animal Hospital,4,709 Bloomfield Ave Bloomfield,, NJ 07003,19733580535,,,,,,,
,People For Animals,4,401 Hillside Ave Hillside,, NJ 07205,19732820890,,,,,,,
,South Orange Animal Hospital,4,66 Valley St South Orange,, NJ 07079,19737632600,,,,,,,
,West Orange Animal Hospital,4,360 Northfield Ave West Orange,, NJ 07052,19737311222,,,,,,,
,Arlington Dog & Cat Hospital,3.5,857 Passaic Ave Kearny,, NJ 07032,12019913664,,,,,,,
,Animal Clinic & Hospital of Jersey City,3.5,603 W Side Ave Jersey City,, NJ 07304,12014310057,,,,,,,
,Bloomfield Animal Clinic,3.5,245 Bloomfield Ave Bloomfield,, NJ 07003,19737480070,,,,,,,
,Happy Paws House Calls,3.5,Parsippany-Troy Hills,, NJ 07054,18622857799,,,,,,,
,Animal Clinic of Bayonne,3.5,926 Broadway Bayonne,, NJ 07002,12014376666,,,,,,,
,VIP Animal Hospital,4.5,444 N Broad St Elizabeth,, NJ 07208,19082897387,,,,,,,
,Bayonne Veterinary Medical Building,4,256 Broadway Bayonne,, NJ 07002,12014370100,,,,,,,
,Roselle Park Animal Hospital,4.5,422 E Westfield Ave Roselle Park,, NJ 07204,19082450233,,,,,,,
,Bully Zone Pet Supplies & Pet Grooming,3.5,1409 McCarter Hwy Newark,, NJ 07104,19737329002,,,,,,,
,Village Animal Clinic,4.5,465 Chestnut St Union,, NJ 07083,19082587963,,,,,,,
,Bayonne Animal Hospital,2.5,1170 Kennedy Blvd Bayonne,, NJ 07002,12013390121,,,,,,,
,4 Paws Veterinary Services,4.5,Roselle Park,, NJ 07204,19088683985,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,Boston Veterinary Clinic,4,363 Tremont St Boston,, MA 02116,18573628672,,,,,,,
,Boston Veterinary Care,4.5,10 Chandler St Animal Rescue League of Boston Boston,, MA 02116,16172265605,,,,,,,
,Huron Veterinary Hospital,4.5,70 Beacon St Somerville,, MA 02143,16176619553,,,,,,,
,Back Bay Veterinary Clinic,4.5,288 Newbury St Fl 2 Boston,, MA 02115,16172472273,,,,,,,
,South Boston Animal Hospital,4,9 West Broadway South Boston,, MA 02127,16172690610,,,,,,,
,Boston Veterinary Clinic,4.5,310 Harvard St Brookline,, MA 02446,18573027994,,,,,,,
,Boston Animal Hospital,5,274 Southampton St Boston,, MA 02118,16174272210,,,,,,,
,South Bay Veterinary Group,4,587 Tremont St Boston,, MA 02118,16172666619,,,,,,,
,MSPCA Angell,3.5,350 S Huntington Ave Boston,, MA 02130,16175227400,,,,,,,
,The Pet's Vet North End,5,225 Friend St Boston,, MA 02114,16175884022,,,,,,,
,VCA Brookline Animal Hospital,3.5,678 Brookline Ave Brookline,, MA 02445,16172772030,,,,,,,
,Charles St Animal Clinic,4.5,158 Charles St Boston,, MA 02114,16172270153,,,,,,,
,Winter Hill Veterinary Clinic,4.5,257 Broadway Somerville,, MA 02145,16176235075,,,,,,,
,Merwin Memorial Free Clinic For Animals,4.5,542 Cambridge St Allston,, MA 02134,16177825420,,,,,,,
,Porter Square Veterinarian,4,360 Summer St Somerville,, MA 02143,16176285588,,,,,,,
,Hancock Animal Hospital,4,55 Hancock St Quincy,, MA 02171,16177730008,,,,,,,
,Jamaica Plain Animal Clinic,4,10A Green St Jamaica Plain,, MA 02130,16175247300,,,,,,,
,Charlestown Veterinary Hospital,3.5,24 Roland St Charlestown,, MA 02129,16176250090,,,,,,,
,Heal Veterinary Clinic,5,150 Belmont St Watertown,, MA 02472,16179325166,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,Central Animal Hospital,4.5,4020 E Speedway Blvd Tucson,, AZ 85712,15203239912,,,,,,,
,University Pet Clinic,4,1506 N Tucson Blvd Tucson,, AZ 85716,15207957016,,,,,,,
,Encanto Pet Clinic,4.5,4340 E Broadway Blvd Tucson,, AZ 85711,15208813221,,,,,,,
,PAWS Veterinary Center,4,300 E River Rd Tucson,, AZ 85704,15208887297,,,,,,,
,Mission Pet Clinic,5,1736 W Ajo Way Tucson,, AZ 85713,15208895751,,,,,,,
,VCA Animal Health Hospital,4.5,2560 S Harrison Rd Tucson,, AZ 85748,15208852364,,,,,,,
,Speedway Veterinary Hospital,4.5,3736 E Speedway Blvd Tucson,, AZ 85716,15203214235,,,,,,,
,Pet Doctor,4,6464 N Oracle Rd Tucson,, AZ 85704,15208295166,,,,,,,
,Sabino Veterinary Care,4.5,4910 N Sabino Canyon Rd Tucson,, AZ 85750,15205479320,,,,,,,
,Desert Hills Pet Clinic,5,5016 N Oracle Rd Tucson,, AZ 85704,15202938788,,,,,,,
,Jackpot Veterinary Center,4.5,6745 N La Cañada Dr Tucson,, AZ 85704,15209993888,,,,,,,
,Catalina Pet Hospital,4.5,3925 E Fort Lowell Rd Ste 107 Tucson,, AZ 85712,15207954612,,,,,,,
,Pantano Animal Clinic,4,8333 22nd E St Tucson,, AZ 85710,15208853594,,,,,,,
,Sahuaro Vista Veterinary Clinic,4.5,333 W Cool Dr Tucson,, AZ 85704,15202973313,,,,,,,
,Rolling Hills Pet Clinic,4.5,7010 E Golf Links Rd. Tucson,, AZ 85730,15207904871,,,,,,,
,Rita Ranch Pet Hospital,4.5,8130 S Houghton Rd Ste 110 Tucson,, AZ 85747,15206246100,,,,,,,
,Desert Paws Mobile Veterinary Care,5,1106 N El Dorado Pl Tucson,, AZ 85715,15208332134,,,,,,,
,Briarcrest Veterinary Care Center,4.5,7313 E Tanque Verde Rd Tucson,, AZ 85715,15202984123,,,,,,,
,St. Marys Animal Clinic,3.5,1010 W Saint Marys Rd Tucson,, AZ 85745,15206238439,,,,,,,
,Veterinary House Calls,5,1541 E Linden St Tucson,, AZ 85719,15205707921,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,VCA Welborn Animal Hospital,4.5,7860 Washington Ave Kansas City,, KS 66112,19133346770,,,,,,,
,Coronado Animal Hospital,4.5,5600 State Ave Kansas City,, KS 66102,19132876777,,,,,,,
,Piper Heritage Veterinary Clinic,4.5,10041 Leavenworth Rd Kansas City,, KS 66109,19132990010,,,,,,,
,Mill Creek Animal Hospital,5,13428 W 62nd Ter Shawnee,, KS 66216,19132680900,,,,,,,
,Bethel Animal Hospital & Kennel,4,7100 Leavenworth Rd Kansas City,, KS 66109,19133342792,,,,,,,
,Turner Animal Hospital,4,842 S 55th St Kansas City,, KS 66106,19132870055,,,,,,,
,Union Hill Animal Hospital,4.5,3025 Main St Kansas City,, MO 64108,18169314930,,,,,,,
,Westwood Animal Hospital,5,4820 Rainbow Blvd Westwood,, KS 66205,19133622512,,,,,,,
,Sunflower Animal Hospital,5,6320 Monrovia St Shawnee,, KS 66216,19136313545,,,,,,,
,Family Pet Hospital,5,12031 Johnson Dr Shawnee,, KS 66216,19132488866,,,,,,,
,Eagle Animal Hospital,4,4825 NW Gateway Ave Riverside,, MO 64150,18167412345,,,,,,,
,Taylor Animal Hospital of Parkville,4.5,6300 N State Route 9 Parkville,, MO 64152,18167418338,,,,,,,
,Dearborn Animal Clinic,4.5,6100 Johnson Dr Mission,, KS 66202,19137222800,,,,,,,
,VCA Fairway Animal Hospital,4,6000 Mission Rd Fairway,, KS 66205,19134327611,,,,,,,
,Wolf Creek Veterinary Clinic,5,14370 Parallel St Basehor,, KS 66007,19137241919,,,,,,,
,Plaza Animal Clinic,4.5,5002 Main St Kansas City,, MO 64112,18169316636,,,,,,,
,Roeland Park Veterinary Center,5,5162 Roe Ave Roeland Park,, KS 66205,19134322050,,,,,,,
,Mission Animal Clinic,4,5915 Broadmoor St Mission,, KS 66202,19134323341,,,,,,,
,FMA Animal Hospital,4,4755 Rainbow Blvd Westwood,, KS 66205,19132621600,,,,,,,
,Tomahawk Animal Hospital,5,6301 W 75th St Overland Park,, KS 66204,19133411030,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,Sunset Animal Clinic,4.5,8776 SW 72nd St Miami,, FL 33173,13052714011,,,,,,,
,Silver Bluff Animal Clinic,4.5,2515 SW 27th Ave Miami,, FL 33133,13058597979,,,,,,,
,Brickell Bay Animal Hospital,4.5,940 Brickell Bay Dr Miami,, FL 33131,17862311111,,,,,,,
,Ponce De Leon Animal Clinic,4.5,4561 Ponce De Leon Blvd Coral Gables,, FL 33146,13056666813,,,,,,,
,Links Of Love Veterinary Clinic,5,13033 SW 112th St Miami,, FL 33186,13053383620,,,,,,,
,Carballo Animal Clinic,4.5,8468 SW 8th St Miami,, FL 33144,13055529121,,,,,,,
,South Miami Animal Clinic,4.5,6100 S Dixie Hwy South Miami,, FL 33143,13056677238,,,,,,,
,South Kendall Animal Hospital,4.5,9501 SW 160th St Miami,, FL 33157,13052382030,,,,,,,
,West Kendall Animal Hospital,4,14732 N Kendall Dr Miami,, FL 33196,13053850404,,,,,,,
,Trail Animal Hospital,4.5,6464 SW 8th St Miami,, FL 33144,13052610793,,,,,,,
,Paws and Claws Medical Center,4,3858 SW 137th Ave Miami,, FL 33175,17863619344,,,,,,,
,Wags Animal Hospital,5,691 Brickell Key Dr Miami,, FL 33131,13056039697,,,,,,,
,Coconut Grove Animal Clinic,4,3200 Grand Ave Miami,, FL 33133,13054482123,,,,,,,
,Edgewater Pet Clinic,4,162 NE 25th St Ste 102 Miami,, FL 33137,13056979848,,,,,,,
,Red Bird Animal Clinic,4,5753 Bird Rd Miami,, FL 33155,13056616466,,,,,,,
,VCA Brickell Animal Hospital,3.5,130 SW 8th St Miami,, FL 33130,17862357387,,,,,,,
,Good Care Animal Clinic,4.5,9837 SW 40th St Miami,, FL 33165,13052200103,,,,,,,
,Premium Vet Care,5,Miami,, FL 33101,17549002030,,,,,,,
,Vet to Pet Animal Clinic,4.5,4878 NW 7th St Miami,, FL 33126,13057749197,,,,,,,
,Yao Animal Hospital,4,7481 Biscayne Blvd Miami,, FL 33138,17862454500,,,,,,,
,Name,,, ,Rating,,, ,Address,,, ,Phone
,Lyndale Animal Hospital,4.5,2544 Lyndale Ave S Minneapolis,, MN 55405,16128724674,,,,,,,
,MetroPet Animal Hospital,5,2603 Hennepin Ave Minneapolis,, MN 55408,16123744414,,,,,,,
,Modern Love Veterinary,5,213 N 5th Ave Minneapolis,, MN 55401,16123614200,,,,,,,
,St. Paul Pet Hospital,5,377 Dayton Ave Saint Paul,, MN 55102,16517896275,,,,,,,
,Vet Partners Pet Hospital - Minneapolis,4.5,1030 Washington Ave S Minneapolis,, MN 55415,16127460300,,,,,,,
,Nokomis Pet Clinic,4.5,2917 E 42nd St Minneapolis,, MN 55406,16127674546,,,,,,,
,Westgate Pet Clinic,4,4345 France Ave S Minneapolis,, MN 55410,16129251121,,,,,,,
,Kenwood Pet Clinic,4,2107 Penn Ave S Minneapolis,, MN 55405,16123775551,,,,,,,
,Vet Partners Pet Hospital,4.5,7101 France Ave S Ste 117 Edina,, MN 55435,19529209922,,,,,,,
,Shady Oak Veterinary Clinic,4,10015 Minnetonka Blvd Minnetonka,, MN 55305,19529381926,,,,,,,
,Pet Doctors Animal Clinic,5,25 E Franklin Ave Minneapolis,, MN 55404,16126070044,,,,,,,
,Grand Avenue Veterinary Center,5,1140 Grand Ave Saint Paul,, MN 55105,16512243038,,,,,,,
,Woodlake Veterinary Hospital,4.5,6436 Lyndale Ave S Richfield,, MN 55423,16128617461,,,,,,,
,Uptown Veterinarian,3.5,3131 Hennepin Ave Minneapolis,, MN 55408,16128256859,,,,,,,
,Lake Harriet Veterinary,4,4249 Bryant Ave S Minneapolis,, MN 55409,16128221545,,,,,,,
,Bass Lake Pet Hospital,4.5,8119 Bass Lake Rd Minneapolis,, MN 55428,17635354250,,,,,,,
,Heritage Animal Hospital,5,12624 Bass Lake Rd Maple Grove,, MN 55369,17635597387,,,,,,,
,All Paws Animal Hospital,4,5225 Excelsior Blvd Minneapolis,, MN 55416,19528480913,,,,,,,
,Pet Central Animal Hospital,3,2700 Central Ave NE Minneapolis,, MN 55418,16127816941,,,,,,,
,East Lake Animal Clinic,4.5,4104 E Lake St Minneapolis,, MN 55406,16127292374,,,,,,,
